amount,timestamp,device_id,location,region,account_age_days,transaction_type,velocity_last_1hr,device_change_flag,is_night,is_fraud
174728.16,2025-03-29 16:25:02,bffb46bd-aa79-415d-9f5e-1b1b15f0d71f,Iganga,Eastern,30,transfer,9,1,0,1
166582.42,2025-04-15 10:08:42,c60bde38-9827-4b64-8fa6-28399b13e13b,Bushenyi,Western,23,airtime,5,1,0,1
135230.78,2025-04-21 16:24:42,a3231b8e-1042-46e4-b88e-324a4598fdbd,Kasese,Western,15,transfer,3,0,0,1
221453.33,2025-02-02 06:18:57,bf5b32f5-7d7a-4c83-8192-60e700339a0e,Mbale,Eastern,1,transfer,10,1,0,1
195324.83,2025-01-16 17:58:54,165ce874-0cf1-4f6f-ba34-8b6106823e47,Soroti,Eastern,15,withdrawal,3,1,0,1
273140.2,2025-01-05 14:14:54,6cf7169f-6bf8-4675-8f0e-0cb299ec8e05,Bushenyi,Western,8,deposit,7,1,0,1
106421.92,2025-04-28 01:34:53,4b22229a-0cf7-4a7a-baf8-66ae0b6d9689,Masaka,Central,27,airtime,10,1,1,1
228773.59,2025-01-23 06:21:53,00a240de-215b-4363-858f-54ce2988d9e4,Entebbe,Central,6,deposit,5,0,0,1
252589.78,2025-03-03 04:26:02,227eeeb1-61b0-434a-b1a5-b9ad1f24c9b6,Iganga,Eastern,16,withdrawal,3,1,1,1
251897.31,2025-03-11 14:42:41,685de951-458c-4107-8bbe-56410f0b1376,Fort Portal,Western,11,airtime,10,1,0,1
277214.79,2025-01-27 09:06:19,bdfb3f52-c95e-47c3-b2bb-fd65a987c728,Mbale,Eastern,25,transfer,6,0,0,1
245806.75,2025-02-03 05:11:30,10fe8e7a-dbd6-49b7-b87a-028bc4362cfc,Mbale,Eastern,6,airtime,10,0,1,1
285562.01,2025-05-13 23:50:28,7df2b4f1-1d40-426c-8406-be19c4dafab8,Kampala,Central,10,deposit,7,1,1,1
166531.32,2025-02-07 15:41:17,74b38ea6-58c8-4051-b895-0e1b4f66caac,Mbale,Eastern,11,airtime,8,1,0,1
200641.88,2025-02-19 03:01:47,3767c12e-b6d2-4ff9-b718-d0e35d140920,Entebbe,Central,17,deposit,10,0,1,1
102815.93,2025-04-04 07:36:45,82aa4a0c-95d4-4b00-9af1-5a88a7468170,Iganga,Eastern,21,withdrawal,7,1,0,1
101391.52,2025-04-13 21:26:03,7c762d8a-433e-45dd-aeed-2eb4820ee0dc,Entebbe,Central,16,withdrawal,8,0,0,1
148025.32,2025-03-18 12:02:18,a25a10a0-3866-4e89-bbf7-1cae9b278cfe,Entebbe,Central,21,airtime,9,0,0,1
120161.44,2025-02-10 21:51:56,f6344b0d-4287-4c7b-8735-f4f72f147925,Iganga,Eastern,8,transfer,8,1,0,1
152042.27,2025-02-16 21:28:31,4acacd54-9863-4faa-860e-8a36bd38bd51,Kampala,Central,10,airtime,7,0,0,1
135408.66,2025-04-14 14:06:26,d34889de-52de-4114-af08-7bdd2bbafccd,Entebbe,Central,16,deposit,6,1,0,1
105704.0,2025-05-05 23:47:08,97c2e390-4485-4974-8fbe-71d9e33af326,Jinja,Eastern,20,withdrawal,5,1,1,1
281860.83,2025-02-07 16:14:29,2ef794cd-554d-4d0f-afab-cfea6bcd690f,Tororo,Eastern,11,airtime,10,0,0,1
101644.63,2025-04-30 04:19:59,f19a9321-4e21-45d7-ae39-dd99b196b828,Iganga,Eastern,1,withdrawal,9,0,1,1
247216.43,2025-04-10 02:37:25,1aeba317-21a2-4ccc-a474-833c1237a0a5,Arua,Northern,22,airtime,8,1,1,1
130429.58,2025-05-18 02:08:31,724893ab-8411-4f12-943b-f5a24da08b5a,Njeru,Eastern,22,airtime,5,1,1,1
282445.92,2025-04-13 19:15:04,b7d36925-a096-4eef-b24d-61df0755e0b5,Gulu,Northern,16,transfer,3,1,0,1
278559.19,2025-04-22 19:11:19,c1855c8f-68ce-4db4-ba61-70152b4690b1,Tororo,Eastern,11,deposit,3,1,0,1
230780.23,2025-04-18 06:13:07,f5cecc0a-c009-4c24-aa99-1e4a22d8893c,Gulu,Northern,8,deposit,3,1,0,1
234446.83,2025-03-16 20:46:06,bf7f8fe7-3ce4-4cd6-874a-15da1d12aa85,Arua,Northern,24,transfer,4,0,0,1
101067.83,2025-05-05 20:36:49,2cd880b4-44c5-4cc3-ba63-cb172d08bb64,Mukono,Central,5,deposit,6,1,0,1
296974.31,2025-03-13 08:00:07,eee20e0a-eff6-4858-91cd-7ac89fefbc9c,Bushenyi,Western,20,withdrawal,8,0,0,1
275566.52,2025-02-09 17:16:49,0ecb82fc-28cf-4e22-ac35-60e8e3e9b7c0,Bushenyi,Western,25,withdrawal,3,1,0,1
279021.25,2025-01-23 10:28:04,61f033f7-b274-4a33-a098-ecd25d26624c,Kampala,Central,4,airtime,6,1,0,1
231848.91,2025-02-16 14:22:04,55adc207-7724-487e-90a3-60b566bf587c,Soroti,Eastern,27,deposit,8,1,0,1
168957.39,2025-02-19 23:51:01,c620b812-9795-4410-abdd-b20f162fd658,Kampala,Central,5,transfer,10,1,1,1
